Name,Pclass,Sex,SibSp,Parch,Embarked,Survived
"Stephenson, Mrs. Walter Bertram (Martha Eustis)",1,female,1,0,C,1
"Elsbury, Mr. William James",3,male,0,0,S,0
"Bourke, Miss. Mary",3,female,0,2,Q,0
"Chapman, Mr. John Henry",2,male,1,0,S,0
"Van Impe, Mr. Jean Baptiste",3,male,1,1,S,0
"Leitch, Miss. Jessie Wills",2,female,0,0,S,1
"Johnson, Mr. Alfred",3,male,0,0,S,0
"Boulos, Mr. Hanna",3,male,0,0,C,0
"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",1,male,1,0,C,1
"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",2,female,2,1,S,1
"Slabenoff, Mr. Petco",3,male,0,0,S,0
"Harrington, Mr. Charles H",1,male,0,0,S,0
"Torber, Mr. Ernst William",3,male,0,0,S,0
"Homer, Mr. Harry (""Mr E Haven"")",1,male,0,0,C,1
"Lindell, Mr. Edvard Bengtsson",3,male,1,0,S,0
"Karaic, Mr. Milan",3,male,0,0,S,0
"Daniel, Mr. Robert Williams",1,male,0,0,S,1
"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",2,female,1,2,C,1
"Shutes, Miss. Elizabeth W",1,female,0,0,S,1
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",3,female,1,5,S,0
"Jardin, Mr. Jose Neto",3,male,0,0,S,0
"Murphy, Miss. Margaret Jane",3,female,1,0,Q,1
"Horgan, Mr. John",3,male,0,0,Q,0
"Brocklebank, Mr. William Alfred",3,male,0,0,S,0
"Herman, Miss. Alice",2,female,1,2,S,1
"Danbom, Mr. Ernst Gilbert",3,male,1,1,S,0
"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",3,female,1,0,S,0
"Becker, Miss. Marion Louise",2,female,2,1,S,1
"Gavey, Mr. Lawrence",2,male,0,0,S,0
"Yasbeck, Mr. Antoni",3,male,1,0,C,0
"Kimball, Mr. Edwin Nelson Jr",1,male,1,0,S,1
"Nakid, Mr. Sahid",3,male,1,1,C,1
"Hansen, Mr. Henry Damsgaard",3,male,0,0,S,0
"Bowen, Mr. David John ""Dai""",3,male,0,0,S,0
"Sutton, Mr. Frederick",1,male,0,0,S,0
"Kirkland, Rev. Charles Leonard",2,male,0,0,Q,0
"Longley, Miss. Gretchen Fiske",1,female,0,0,S,1
"Bostandyeff, Mr. Guentcho",3,male,0,0,S,0
"O'Connell, Mr. Patrick D",3,male,0,0,Q,0
"Barkworth, Mr. Algernon Henry Wilson",1,male,0,0,S,1
"Lundahl, Mr. Johan Svensson",3,male,0,0,S,0
"Stahelin-Maeglin, Dr. Max",1,male,0,0,C,1
"Parr, Mr. William Henry Marsh",1,male,0,0,S,0
"Skoog, Miss. Mabel",3,female,3,2,S,0
"Davis, Miss. Mary",2,female,0,0,S,1
"Leinonen, Mr. Antti Gustaf",3,male,0,0,S,0
"Collyer, Mr. Harvey",2,male,1,1,S,0
"Panula, Mrs. Juha (Maria Emilia Ojala)",3,female,0,5,S,0
"Thorneycroft, Mr. Percival",3,male,1,0,S,0
"Jensen, Mr. Hans Peder",3,male,0,0,S,0
"Sagesser, Mlle. Emma",1,female,0,0,C,1
"Skoog, Miss. Margit Elizabeth",3,female,3,2,S,0
"Foo, Mr. Choong",3,male,0,0,S,1
"Baclini, Miss. Eugenie",3,female,2,1,C,1
"Harper, Mr. Henry Sleeper",1,male,1,0,C,1
"Cor, Mr. Liudevit",3,male,0,0,S,0
"Simonius-Blumer, Col. Oberst Alfons",1,male,0,0,C,1
"Willey, Mr. Edward",3,male,0,0,S,0
"Stanley, Miss. Amy Zillah Elsie",3,female,0,0,S,1
"Mitkoff, Mr. Mito",3,male,0,0,S,0
"Doling, Miss. Elsie",2,female,0,1,S,1
"Kalvik, Mr. Johannes Halvorsen",3,male,0,0,S,0
"O'Leary, Miss. Hanora ""Norah""",3,female,0,0,Q,1
"Hegarty, Miss. Hanora ""Nora""",3,female,0,0,Q,0
"Hickman, Mr. Leonard Mark",2,male,2,0,S,0
"Radeff, Mr. Alexander",3,male,0,0,S,0
"Bourke, Mrs. John (Catherine)",3,female,1,1,Q,0
"Eitemiller, Mr. George Floyd",2,male,0,0,S,0
"Newell, Mr. Arthur Webster",1,male,0,2,C,0
"Frauenthal, Dr. Henry William",1,male,2,0,S,1
"Badt, Mr. Mohamed",3,male,0,0,C,0
"Colley, Mr. Edward Pomeroy",1,male,0,0,S,0
"Coleff, Mr. Peju",3,male,0,0,S,0
"Lindqvist, Mr. Eino William",3,male,1,0,S,1
"Hickman, Mr. Lewis",2,male,2,0,S,0
"Butler, Mr. Reginald Fenton",2,male,0,0,S,0
"Rommetvedt, Mr. Knud Paust",3,male,0,0,S,0
"Cook, Mr. Jacob",3,male,0,0,S,0
"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",1,female,1,0,S,1
"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",2,female,1,1,S,1
"Davidson, Mr. Thornton",1,male,1,0,S,0
"Mitchell, Mr. Henry Michael",2,male,0,0,S,0
"Wilhelms, Mr. Charles",2,male,0,0,S,1
"Watson, Mr. Ennis Hastings",2,male,0,0,S,0
"Edvardsson, Mr. Gustaf Hjalmar",3,male,0,0,S,0
"Sawyer, Mr. Frederick Charles",3,male,0,0,S,0
"Turja, Miss. Anna Sofia",3,female,0,0,S,1
"Goodwin, Mrs. Frederick (Augusta Tyler)",3,female,1,6,S,0
"Cardeza, Mr. Thomas Drake Martinez",1,male,0,1,C,1
"Peters, Miss. Katie",3,female,0,0,Q,0
"Hassab, Mr. Hammad",1,male,0,0,C,1
"Olsvigen, Mr. Thor Anderson",3,male,0,0,S,0
"Goodwin, Mr. Charles Edward",3,male,5,2,S,0
"Brown, Mr. Thomas William Solomon",2,male,1,1,S,0
"Laroche, Mr. Joseph Philippe Lemercier",2,male,1,2,C,0
"Panula, Mr. Jaako Arnold",3,male,4,1,S,0
"Dakic, Mr. Branko",3,male,0,0,S,0
"Fischer, Mr. Eberhard Thelander",3,male,0,0,S,0
"Madill, Miss. Georgette Alexandra",1,female,0,1,S,1
"Dick, Mr. Albert Adrian",1,male,1,0,S,1
"Karun, Miss. Manca",3,female,0,1,C,1
"Lam, Mr. Ali",3,male,0,0,S,1
"Saad, Mr. Khalil",3,male,0,0,C,0
"Weir, Col. John",1,male,0,0,S,0
"Chapman, Mr. Charles Henry",2,male,0,0,S,0
"Kelly, Mr. James",3,male,0,0,S,0
"Mullens, Miss. Katherine ""Katie""",3,female,0,0,Q,1
"Thayer, Mr. John Borland",1,male,1,1,C,0
"Humblen, Mr. Adolf Mathias Nicolai Olsen",3,male,0,0,S,0
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",1,female,1,0,C,1
"Silverthorne, Mr. Spencer Victor",1,male,0,0,S,1
"Barbara, Miss. Saiide",3,female,0,1,C,0
"Gallagher, Mr. Martin",3,male,0,0,Q,0
"Hansen, Mr. Henrik Juul",3,male,1,0,S,0
"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",2,male,0,0,S,0
"Kelly, Mrs. Florence ""Fannie""",2,female,0,0,S,1
"Calderhead, Mr. Edward Pennington",1,male,0,0,S,1
"Cleaver, Miss. Alice",1,female,0,0,S,1
"Moubarek, Master. Halim Gonios (""William George"")",3,male,1,1,C,1
"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",1,female,0,0,C,1
"Klaber, Mr. Herman",1,male,0,0,S,0
"Taylor, Mr. Elmer Zebley",1,male,1,0,S,1
"Larsson, Mr. August Viktor",3,male,0,0,S,0
"Greenberg, Mr. Samuel",2,male,0,0,S,0
"Soholt, Mr. Peter Andreas Lauritz Andersen",3,male,0,0,S,0
"Endres, Miss. Caroline Louise",1,female,0,0,C,1
"Troutt, Miss. Edwina Celia ""Winnie""",2,female,0,0,S,1
"McEvoy, Mr. Michael",3,male,0,0,Q,0
"Johnson, Mr. Malkolm Joackim",3,male,0,0,S,0
"Harper, Miss. Annie Jessie ""Nina""",2,female,0,1,S,1
"Jensen, Mr. Svend Lauritz",3,male,1,0,S,0
"Gillespie, Mr. William Henry",2,male,0,0,S,0
"Hodges, Mr. Henry Price",2,male,0,0,S,0
"Chambers, Mr. Norman Campbell",1,male,1,0,S,1
"Oreskovic, Mr. Luka",3,male,0,0,S,0
"Renouf, Mrs. Peter Henry (Lillian Jefferys)",2,female,3,0,S,1
"Mannion, Miss. Margareth",3,female,0,0,Q,1
"Bryhl, Mr. Kurt Arnold Gottfrid",2,male,1,0,S,0
"Ilmakangas, Miss. Pieta Sofia",3,female,1,0,S,0
"Allen, Miss. Elisabeth Walton",1,female,0,0,S,1
"Hassan, Mr. Houssein G N",3,male,0,0,C,0
"Knight, Mr. Robert J",2,male,0,0,S,0
"Berriman, Mr. William John",2,male,0,0,S,0
"Troupiansky, Mr. Moses Aaron",2,male,0,0,S,0
"Williams, Mr. Leslie",3,male,0,0,S,0
"Ford, Mrs. Edward (Margaret Ann Watson)",3,female,1,3,S,0
"Lesurer, Mr. Gustave J",1,male,0,0,C,1
"Ivanoff, Mr. Kanio",3,male,0,0,S,0
"Nankoff, Mr. Minko",3,male,0,0,S,0
"Hawksford, Mr. Walter James",1,male,0,0,S,1
"Cavendish, Mr. Tyrell William",1,male,1,0,S,0
"Ryerson, Miss. Susan Parker ""Suzette""",1,female,2,2,C,1
"McNamee, Mr. Neal",3,male,1,0,S,0
"Stranden, Mr. Juho",3,male,0,0,S,1
"Crosby, Capt. Edward Gifford",1,male,1,1,S,0
"Abbott, Mr. Rossmore Edward",3,male,1,1,S,0
"Sinkkonen, Miss. Anna",2,female,0,0,S,1
"Marvin, Mr. Daniel Warner",1,male,1,0,S,0
"Connaghton, Mr. Michael",3,male,0,0,Q,0
"Wells, Miss. Joan",2,female,1,1,S,1
"Moor, Master. Meier",3,male,0,1,S,1
"Vande Velde, Mr. Johannes Joseph",3,male,0,0,S,0
"Jonkoff, Mr. Lalio",3,male,0,0,S,0
"Herman, Mrs. Samuel (Jane Laver)",2,female,1,2,S,1
"Hamalainen, Master. Viljo",2,male,1,1,S,1
"Carlsson, Mr. August Sigfrid",3,male,0,0,S,0
"Bailey, Mr. Percy Andrew",2,male,0,0,S,0
"Theobald, Mr. Thomas Leonard",3,male,0,0,S,0
"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",1,female,0,0,S,1
"Garfirth, Mr. John",3,male,0,0,S,0
"Nirva, Mr. Iisakki Antino Aijo",3,male,0,0,S,0
"Barah, Mr. Hanna Assi",3,male,0,0,C,1
"Carter, Mrs. William Ernest (Lucile Polk)",1,female,1,2,S,1
"Eklund, Mr. Hans Linus",3,male,0,0,S,0
"Hogeboom, Mrs. John C (Anna Andrews)",1,female,1,0,S,1
"Brewe, Dr. Arthur Jackson",1,male,0,0,C,0
"Mangan, Miss. Mary",3,female,0,0,Q,0
"Moran, Mr. Daniel J",3,male,1,0,Q,0
"Gronnestad, Mr. Daniel Danielsen",3,male,0,0,S,0
"Lievens, Mr. Rene Aime",3,male,0,0,S,0
"Jensen, Mr. Niels Peder",3,male,0,0,S,0
"Mack, Mrs. (Mary)",2,female,0,0,S,0
"Elias, Mr. Dibo",3,male,0,0,C,0
"Hocking, Mrs. Elizabeth (Eliza Needs)",2,female,1,3,S,1
"Myhrman, Mr. Pehr Fabian Oliver Malkolm",3,male,0,0,S,0
"Tobin, Mr. Roger",3,male,0,0,Q,0
"Emanuel, Miss. Virginia Ethel",3,female,0,0,S,1
"Kilgannon, Mr. Thomas J",3,male,0,0,Q,0
"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",1,female,0,1,S,1
"Ayoub, Miss. Banoura",3,female,0,0,C,1
"Dick, Mrs. Albert Adrian (Vera Gillespie)",1,female,1,0,S,1
"Long, Mr. Milton Clyde",1,male,0,0,S,0
"Johnston, Mr. Andrew G",3,male,1,2,S,0
"Ali, Mr. William",3,male,0,0,S,0
"Harmer, Mr. Abraham (David Lishin)",3,male,0,0,S,0
"Sjoblom, Miss. Anna Sofia",3,female,0,0,S,1
"Rice, Master. George Hugh",3,male,4,1,Q,0
"Dean, Master. Bertram Vere",3,male,1,2,S,1
"Guggenheim, Mr. Benjamin",1,male,0,0,C,0
"Keane, Mr. Andrew ""Andy""",3,male,0,0,Q,0
"Gaskell, Mr. Alfred",2,male,0,0,S,0
"Sage, Miss. Stella Anna",3,female,8,2,S,0
"Hoyt, Mr. William Fisher",1,male,0,0,C,0
"Dantcheff, Mr. Ristiu",3,male,0,0,S,0
"Otter, Mr. Richard",2,male,0,0,S,0
"Leader, Dr. Alice (Farnham)",1,female,0,0,S,1
"Osman, Mrs. Mara",3,female,0,0,S,1
"Ibrahim Shawah, Mr. Yousseff",3,male,0,0,C,0
"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",3,female,1,1,S,0
"Ponesell, Mr. Martin",2,male,0,0,S,0
"Collyer, Mrs. Harvey (Charlotte Annie Tate)",2,female,1,1,S,1
"Carter, Master. William Thornton II",1,male,1,2,S,1
"Thomas, Master. Assad Alexander",3,male,0,1,C,1
"Hedman, Mr. Oskar Arvid",3,male,0,0,S,1
"Johansson, Mr. Karl Johan",3,male,0,0,S,0
"Andrews, Mr. Thomas Jr",1,male,0,0,S,0
"Pettersson, Miss. Ellen Natalia",3,female,0,0,S,0
"Meyer, Mr. August",2,male,0,0,S,0
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",1,female,1,0,S,1
"Alexander, Mr. William",3,male,0,0,S,0
"Lester, Mr. James",3,male,0,0,S,0
"Slemen, Mr. Richard James",2,male,0,0,S,0
"Andersson, Miss. Ebba Iris Alfrida",3,female,4,2,S,0
"Tomlin, Mr. Ernest Portage",3,male,0,0,S,0
"Fry, Mr. Richard",1,male,0,0,S,0
"Heininen, Miss. Wendla Maria",3,female,0,0,S,0
"Mallet, Mr. Albert",2,male,1,1,C,0
"Holm, Mr. John Fredrik Alexander",3,male,0,0,S,0
"Skoog, Master. Karl Thorsten",3,male,3,2,S,0
"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",1,female,1,1,S,1
"Lulic, Mr. Nikola",3,male,0,0,S,1
"Reuchlin, Jonkheer. John George",1,male,0,0,S,0
"Moor, Mrs. (Beila)",3,female,0,1,S,1
"Panula, Master. Urho Abraham",3,male,4,1,S,0
"Flynn, Mr. John",3,male,0,0,Q,0
"Lam, Mr. Len",3,male,0,0,S,0
"Mallet, Master. Andre",2,male,0,2,C,1
"McCormack, Mr. Thomas Joseph",3,male,0,0,Q,1
"Stone, Mrs. George Nelson (Martha Evelyn)",1,female,0,0,,1
"Yasbeck, Mrs. Antoni (Selini Alexander)",3,female,1,0,C,1
"Richards, Master. George Sibley",2,male,1,1,S,1
"Saad, Mr. Amin",3,male,0,0,C,0
"Augustsson, Mr. Albert",3,male,0,0,S,0
"Allum, Mr. Owen George",3,male,0,0,S,0
"Compton, Miss. Sara Rebecca",1,female,1,1,C,1
"Pasic, Mr. Jakob",3,male,0,0,S,0
"Sirota, Mr. Maurice",3,male,0,0,S,0
"Chip, Mr. Chang",3,male,0,0,S,1
"Marechal, Mr. Pierre",1,male,0,0,C,1
"Alhomaki, Mr. Ilmari Rudolf",3,male,0,0,S,0
"Mudd, Mr. Thomas Charles",2,male,0,0,S,0
"Serepeca, Miss. Augusta",1,female,0,0,C,1
"Lemberopolous, Mr. Peter L",3,male,0,0,C,0
"Culumovic, Mr. Jeso",3,male,0,0,S,0
"Abbing, Mr. Anthony",3,male,0,0,S,0
"Sage, Mr. Douglas Bullen",3,male,8,2,S,0
"Markoff, Mr. Marin",3,male,0,0,C,0
"Harper, Rev. John",2,male,0,1,S,0
"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",1,female,1,0,C,1
"Andersson, Master. Sigvard Harald Elias",3,male,4,2,S,0
"Svensson, Mr. Johan",3,male,0,0,S,0
"Boulos, Miss. Nourelain",3,female,1,1,C,0
"Lines, Miss. Mary Conover",1,female,0,1,S,1
"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",2,female,1,0,S,0
"Aks, Mrs. Sam (Leah Rosen)",3,female,0,1,S,1
"Wick, Mrs. George Dennick (Mary Hitchcock)",1,female,1,1,S,1
"Daly, Mr. Peter Denis ",1,male,0,0,S,1
"Baclini, Mrs. Solomon (Latifa Qurban)",3,female,0,3,C,1
"Razi, Mr. Raihed",3,male,0,0,C,0
"Hansen, Mr. Claus Peter",3,male,2,0,S,0
"Giles, Mr. Frederick Edward",2,male,1,0,S,0
"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",1,female,0,0,S,1
"Sage, Miss. Dorothy Edith ""Dolly""",3,female,8,2,S,0
"Gill, Mr. John William",2,male,0,0,S,0
"Bystrom, Mrs. (Karolina)",2,female,0,0,S,1
"Duran y More, Miss. Asuncion",2,female,1,0,C,1
"Roebling, Mr. Washington Augustus II",1,male,0,0,S,0
"van Melkebeke, Mr. Philemon",3,male,0,0,S,0
"Johnson, Master. Harold Theodor",3,male,1,1,S,1
"Balkic, Mr. Cerin",3,male,0,0,S,0
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",1,female,1,1,S,1
"Carlsson, Mr. Frans Olof",1,male,0,0,S,0
"Vander Cruyssen, Mr. Victor",3,male,0,0,S,0
"Abelson, Mrs. Samuel (Hannah Wizosky)",2,female,1,0,C,1
"Najib, Miss. Adele Kiamie ""Jane""",3,female,0,0,C,1
"Gustafsson, Mr. Alfred Ossian",3,male,0,0,S,0
"Petroff, Mr. Nedelio",3,male,0,0,S,0
"Laleff, Mr. Kristo",3,male,0,0,S,0
"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",1,female,0,1,C,1
"Shelley, Mrs. William (Imanita Parrish Hall)",2,female,0,1,S,1
"Markun, Mr. Johann",3,male,0,0,S,0
"Dahlberg, Miss. Gerda Ulrika",3,female,0,0,S,0
"Banfield, Mr. Frederick James",2,male,0,0,S,0
"Sutehall, Mr. Henry Jr",3,male,0,0,S,0
"Rice, Mrs. William (Margaret Norton)",3,female,0,5,Q,0
"Montvila, Rev. Juozas",2,male,0,0,S,0
"Graham, Miss. Margaret Edith",1,female,0,0,S,1
"Johnston, Miss. Catherine Helen ""Carrie""",3,female,1,2,S,0
"Behr, Mr. Karl Howell",1,male,0,0,C,1
"Dooley, Mr. Patrick",3,male,0,0,Q,0
